frame_nr;dec_time;anim_fps;pc_latency;time_packets
527;42.97795;29.97987;8.852005;33.16498
528;44.93769;30.14882;0.06484985;33.30803
529;42.75365;29.83995;8.573532;33.1707
530;42.49376;30.4854;8.735657;33.28896
531;40.83876;29.72828;0.0629425;33.04863
532;44.67348;30.31618;9.559631;34.10912
533;43.00262;30.58143;8.665085;32.52792
534;39.21669;29.64927;9.090424;33.86116
535;40.4169;29.15302;0.05340576;32.93991
536;42.75016;30.64578;8.543015;33.00476
537;42.51788;30.0142;0.05722046;33.3519
538;41.13676;30.32495;0.05531311;33.70094
539;42.71185;29.85185;8.512497;32.83119
540;44.53687;30.15402;8.699417;33.30231
541;42.71533;29.90634;0.0705719;33.56361
542;42.56966;29.62916;0.0705719;32.9895
543;42.37355;30.33723;0.05722046;33.31566
544;42.20301;30.08481;0.05912781;33.34618
545;40.64878;30.75003;0.05340576;33.23746
546;39.76397;29.41802;0.0667572;33.16689
547;41.86935;29.98502;0.0705719;33.71048
548;43.749;29.99702;0.1220703;32.94563
549;43.01674;30.45;8.686066;33.15544
550;41.12385;29.50245;0.05912781;33.5083
551;42.29493;30.50847;0.09346008;33.57887
552;40.36089;29.70975;0.0667572;32.37152
553;41.05944;30.19744;0.1487732;33.80203
554;40.25553;29.94391;0.08773804;33.39958
555;45.05741;30.18527;0.05722046;32.84645
556;41.89277;29.67444;0.05722046;33.63991
557;42.15889;30.13323;0.07629395;33.27942
558;44.67348;30.63325;0.0667572;33.0143
559;42.2132;29.67612;0.05531311;33.30612
560;41.36721;30.06411;0.1296997;33.28133
561;44.19896;30.17311;0.05340576;33.02956
562;41.34437;29.96103;0.0743866;33.16689
563;42.11148;30.21659;0.05912781;33.15735
564;41.95982;29.74853;0.06484985;33.34236
565;41.75597;29.92341;0.05340576;33.21838
566;42.92165;30.56716;0.05912781;33.42056
567;44.17289;30.46592;0.05149841;33.144
568;40.38577;24.03337;0.0705719;33.5598
569;40.47931;29.98502;0.06484985;32.81403
570;41.19818;30.26543;0.05149841;33.42247
571;40.46369;29.78232;0.05340576;33.05435
572;39.07057;29.59571;0.05912781;33.33473
573;47.80596;30.15229;0.05722046;33.38051
574;41.746;30.40232;0.05912781;33.36906
575;40.45744;29.65262;0.06103516;33.05054
576;41.12708;30.50492;0.06103516;33.47397
577;40.84512;30.07273;0.1373291;33.02383
578;40.5012;29.74684;0.0667572;33.18024
579;43.2688;29.82977;0.0743866;33.80394
580;42.18264;30.23227;0.04959106;32.84836
581;42.2098;29.95076;0.05722046;33.23555
582;40.46681;30.58678;0.05722046;33.4034
583;39.93662;29.65094;0.05722046;33.29849
584;40.40444;30.18701;0.04768372;32.87888
585;41.23382;29.85695;0.04959106;33.57315
586;43.53467;30.33196;0.04768372;33.44345
587;43.90286;29.99188;0.05340576;32.88078
588;42.89707;17.13192;0.05149841;33.5598
589;43.98389;30.42879;0.04959106;33.34999
590;43.31169;30.01248;0.05149841;33.09822
591;39.55696;29.44777;0.0705719;33.3519
592;44.48774;30.76808;8.69751;42.19627
593;40.92163;30.13323;0.0705719;24.06883
594;42.24041;29.75528;0.09536743;33.74481
595;43.79651;30.15923;0.04577637;33.1192
596;41.87269;30.26019;0.05149841;32.76443
597;42.72578;29.67612;0.05149841;33.72002
598;44.8416;30.4553;0.1335144;42.39273
599;42.2132;29.85015;9.004593;32.96089
600;41.1626;30.23576;0.05149841;24.15466
601;41.14645;23.6977;0.04959106;33.43391
602;41.61676;30.61536;0.05912781;33.12302
603;39.96402;29.58068;0.04959106;33.39386
604;42.73623;30.19744;8.926392;42.63687
605;41.98671;30.46769;8.76236;32.74536
606;40.85786;29.90804;9.197235;33.22792
607;41.27602;29.95589;0.05149841;24.28627
608;42.76062;30.41114;0.05340576;33.11539
609;39.72782;30.08654;8.304596;41.92924
610;42.38383;29.31931;0.04959106;24.94049
611;45.79334;30.61715;8.821487;42.03033
612;38.55626;29.18873;33.33664;57.6725
